ID,birthyear,gender,fitness,height,weight
RW_1111,1989,Male,Good,190,95
RW_2639,1994,Male,Average,182,87.7
RW_2015,1994,Female,Good,188,88.6
RW_8029,1987,Male,Bad,184,70.2
RW_0938,2002,Male,Good,180,62.2
RW_1115,2001,Female,Bad,169,68
RW_0783,1992,Male,Perfect,188,77
RW_1245,1971,Female,No answer,181,63
RW_1300,1985,Male,Good,181,99
RW_8017,2001,Diverse,Good,169,84.9
RW_6315,1999,Male,Good,186,95
RW_0264,1987,Male,Good,175,74
RW_7125,1977,Male,Average,179,93
RW_3131,1992,Male,Unathletic,193,84.5
RW_4797,1995,Male,Good,187,95
RW_8270,1989,Male,Good,178,66
RW_5798,1992,Female,Good,158,75
RW_2675,1976,Male,Good,178,68.8
RW_6012,2001,Male,Good,196,87
RW_3751,1978,Male,Good,196,96
RW_4739,1994,Female,Average,167,67
RW_5927,1995,Male,Good,185,94.5
RW_8403,1995,Male,Average,176,73.5
RW_2160,1984,Male,Average,180,77
RW_4891,1990,Female,Average,168,66
RW_8259,1986,Male,Average,185,94.7
RW_3747,1991,Male,Perfect,186,89.7
RW_5274,1993,Male,Average,191,77.6
RW_7534,1993,Male,Perfect,174,75
RW_7840,1985,Female,Unathletic,169,94.2
RW_7530,2000,Male,Good,182,69
RW_5637,1969,Female,Average,168,79
RW_2371,2000,Female,Average,176,82.6
RW_3275,1978,Male,Good,185,86
RW_9047,2002,Male,Good,190,75.3
